"workPid","dataPid","isPartOf","hasPart","relatedTo","xml:sortorder","copyrightStatus","lukasPhotoId","vkcId"
"http://kmska.be/collection/work/id/523-525bis","oai:datahub.vlaamsekunstcollectie.be:kmska.be:523-525bis",,"http://kmska.be/collection/work/id/524""http://kmska.be/collection/work/id/523""http://kmska.be/collection/work/id/525""http://kmska.be/collection/work/id/525bis",,,"https://creativecommons.org/publicdomain/zero/1.0/",30717000,100000001
"http://kmska.be/collection/work/id/524","oai:datahub.vlaamsekunstcollectie.be:kmska.be:524","http://kmska.be/collection/work/id/523-525bis",,,,"https://creativecommons.org/publicdomain/zero/1.0/",30717002,100000002
"http://kmska.be/collection/work/id/523","oai:datahub.vlaamsekunstcollectie.be:kmska.be:523","http://kmska.be/collection/work/id/523-525bis",,,,"https://creativecommons.org/publicdomain/zero/1.0/",30717001,100000003
"http://kmska.be/collection/work/id/525","oai:datahub.vlaamsekunstcollectie.be:kmska.be:525","http://kmska.be/collection/work/id/523-525bis",,,,"https://creativecommons.org/publicdomain/zero/1.0/",30717003,100000004
"http://kmska.be/collection/work/id/525bis","oai:datahub.vlaamsekunstcollectie.be:kmska.be:525bis","http://kmska.be/collection/work/id/523-525bis",,,,"https://creativecommons.org/publicdomain/zero/1.0/",30717004,100000005
"http://mskgent.be/collection/work/id/1998-B-112","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1998-B-112",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20669000,100000006
"http://mskgent.be/collection/work/id/1998-B-115","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:1998-B-115",,,,,"http://rightsstatements.org/vocab/InC/1.0/",20701000,100000007
"http://mskgent.be/collection/work/data/2008-D-1","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-1",,,"http://mskgent.be/collection/work/data/2008-D-2",1,"http://rightsstatements.org/vocab/CNE/1.0/",20879000,100000008
"http://mskgent.be/collection/work/data/2008-D-2","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-2",,,"http://mskgent.be/collection/work/data/2008-D-3",2,"http://rightsstatements.org/vocab/CNE/1.0/",20880000,100000009
"http://mskgent.be/collection/work/data/2008-D-3","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-3",,,"http://mskgent.be/collection/work/data/2008-D-4",3,"http://rightsstatements.org/vocab/CNE/1.0/",20881000,100000010
"http://mskgent.be/collection/work/data/2008-D-4","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-4",,,"http://mskgent.be/collection/work/data/2008-D-5",4,"http://rightsstatements.org/vocab/CNE/1.0/",20882000,100000011
"http://mskgent.be/collection/work/data/2008-D-5","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-5",,,"http://mskgent.be/collection/work/data/2008-D-6",5,"http://rightsstatements.org/vocab/CNE/1.0/",20883000,100000012
"http://mskgent.be/collection/work/data/2008-D-6","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-6",,,"http://mskgent.be/collection/work/data/2008-D-7",6,"http://rightsstatements.org/vocab/CNE/1.0/",20884000,100000013
"http://mskgent.be/collection/work/data/2008-D-7","oai:datahub.vlaamsekunstcollectie.be:mskgent.be:2008-D-7",,,"http://mskgent.be/collection/work/data/2008-D-8",7,"http://rightsstatements.org/vocab/CNE/1.0/",20885000,100000014
