"Work PID","nl","en"
"http://kmska.be/collection/work/id/523-525bis","n/a","n/a"
"http://kmska.be/collection/work/id/524","Achter de donator St. Sebastiaan met het wapen van zijn gilde op zijn kledij. Aan een boom het wapen van de donator: sabel met gouden adelaar. Op de lijst onderaan bevond zich, volgens vorige publicaties de tekst: Adi 15 iunii etatis 32 a° 1515. Thans enkel nog: Adi 15 iunni op geschilderde boord onderaan. (Catalogus KMSKA Schilderkunst Oude Meesters)","Behind the donator St. Sebastian with the arms of his guild on his clothes. A boom arm of the donator: saber with golden eagle. The list below was located, according to previous publications Text: Adi 15 iunii etatis a 32 ° 1515. Now just yet: Adi 15 iunni on painted hem. (Catalog KMSKA Old Masters Paintings)"
"http://kmska.be/collection/work/id/523","Op de lijst onderaan bevonden zich eertijds de twee eerste zinnen van het Ave Maria (zie museumcatalogus 1855). (Catalogus KMSKA Schilderkunst Oude Meesters)","On the list below there were once the first two sentences of the Ave Maria (see museum catalog in 1855). (Catalog KMSKA Old Masters Paintings)"
"http://kmska.be/collection/work/id/525","Achter de geportretteerde, de heilige Magdalena. Het wapen aan de boomtak stelt in de ene helft dat van de donator voor; de andere helft is azuur, met gouden band, waarboven een halve maan en een gouden ster met vijf stralen. Op de lijst onderaan bevond zich, volgens vorige publicaties, de tekst: Adi 8 decembris etatis 24 a° 1515.\R Thans enkel nog: Adi 8 decembri. Op de achterzijde van dit paneel bevindt zich (in kleur) een voorstelling van Eva naast de Boom van Goed en Kwaad (naar Dürers prent met Zondeval), als pendant voor verdwenen Adam op andere luik. In de boomtakken zelfde wapenschild als op voorzijde.\R In de museumcatalogus van vòòr 1905 als Duitse school, 16de eeuw. Op grond van vergelijking met ons nr. 559 door L. Scheibler aan J.C. van Amsterdam toegekend (zie: Jahrb. der Kön. preuss. Kunstsamml., III, 1, p. 20).\R Volgens J. Six van de hand van Jan van den Hout (zie: Oud Holland, 1925, p. 11). Identificatie van de donatoren door J. Sterck (Oud Holland, 1926, p. 251-253). (Catalogus KMSKA Schilderkunst Oude Meesters)","Behind the sitter, the holy Magdalena. The weapon states to the branch in one half that for the donator; the other half is azure, with gold band, above a crescent and a gold star with five rays. The list below was located, according to previous publications, the text Adi 8 decembris etatis a 24 ° 1515. \R Now just yet: Adi 8 decembrī. On the back of this panel are (in color) a performance of Eve next to the Tree of Good and Evil (to Dürer's print of Fall), as a counterpart for Adam disappeared on another hatch. In the same branches as arms on front. \R in the museum catalog from before 1905 German School, 16th Century. On the basis of comparison with our no. 559 L. Scheibler to J.C. granted of Amsterdam (see:.. Jahrb der Kön preuss Kunstsamml, III, 1, p 20...) \R According to J. Six of the hand by Jan van den Hout (see:. Old York, 1925, p 11. ). Identification of the donors by J. Sterck (Oud Holland, 1926, p. 251-253). (Catalog KMSKA Old Masters Paintings)"
"http://kmska.be/collection/work/id/525bis","Op dit paneel bevindt zich (in kleur) een voorstelling van Eva naast de Boom van Goed en Kwaad (naar Dürers prent met de Zondeval), als pendant voor verdwenen Adam op andere luik. In de boomtakken bevindt zich hetzelfde wapenschild als op voorzijde.\R In de museumcatalogus van vóór 1905 vermeld als Duitse school, 16de eeuw. Op grond van vergelijking met ons nr. 559 door L. Scheibler aan J.C. van Amsterdam toegekend (zie: Jahrb. der Kön. preuss. Kunstsamml., III, 1, p. 20).\R Volgens J. Six van de hand van Jan van den Hout (zie: Oud Holland, 1925, p. 11). Identificatie van de donatoren door J. Sterck (Oud Holland, 1926, p. 251-253).","On this panel are (in color) a performance of Eve next to the Tree of Good and Evil (to Dürer's engraving of the Fall), as a counterpart for Adam disappeared on another hatch. The branches are the same arms as stated in front. \R in the museum catalog before 1905 as a German school, 16th century. On the basis of comparison with our no. 559 L. Scheibler to J.C. granted of Amsterdam (see:.. Jahrb der Kön preuss Kunstsamml, III, 1, p 20...) \R According to J. Six of the hand by Jan van den Hout (see:. Old York, 1925, p 11. ). Identification of the donors by J. Sterck (Oud Holland, 1926, p. 251-253)."
"http://mskgent.be/collection/work/id/1998-B-112","Voor de voorstelling “De wraak van Hop-Frog” baseerde Ensor zich op het gelijknamige verhaal van Edgar Allan Poe. De kunstenaar heeft het moment weergegeven waarop de koning en zijn ministers, verkleed als apen brandend boven een carnavalesk uitgedoste menigte hangen, waar ook Ensor zelf deel van uitmaakt. Intussen wakkert de dwerg Hop-Frog met zijn toorts het vuur aan. De compositie vertoont sterke overeenkomsten met de tekening van Jacques Callot “Eerste intermezzo van 1617” (Berlijn, Kupferstichkabinett). Van de voorstelling maakte Ensor in 1885 een lithografie, in 1896 een schilderij en twee jaar later de ets. De voorstelling in ets staat in spiegelbeeld, in vergelijking met de versie in lithografie.","For the show \"The Revenge of Hop-Frog\" Ensor was based on a story by Edgar Allan Poe. The artist has displayed the time that the king and his ministers dressed as monkeys burning hung above a carnival dressed crowd, where Ensor himself belongs. Meanwhile, with his torch dwarf Hop-Frog fanning the fire. The composition shows strong similarities with the drawing of Jacques Callot \"First interlude of 1617\" (Berlin, Kupferstichkabinett). The show Ensor made a lithograph in 1885, a painting and two years later the etching in 1896. The performance in etching is reversed compared to the version in lithography."
"http://mskgent.be/collection/work/id/1998-B-115","Op deze ingekleurde ets geeft Ensor zijn impressie van het baden aan het strand in Oostende. Links staat een groot aantal badkoetsen, die men kon huren en waarin men zich kon omkleden. Nadat een koetsier het paard voor de koets had gespannen, reed hij de wagen het water in en wanneer men daar goed en wel was aangekomen en de trap was uitgezet, sloeg de koetsier met zijn zweep op het dak, ten teken dat de gasten het voertuig konden verlaten. Dan zag men de ‘belachelijke en wanstaltige schepsels’ zich in hun gestreepte badpakken het water in begeven. Voor veel autochtonen en bezoekers van Oostende was dit een amusant schouwspel. Ensor had een andere kijk op het gebeuren. Zijn vriend, de literator André de Ridder schrijft hoe Ensor “honderden van deze de zee beledigende indringers met hun gebreken en potsierlijkheden tot een dolle narrendans in het water verenigt”.","This colored etching Ensor gives his impression of the bathing beach in Oostende. On the left is a large number of bathing carriages, which they could rent, and which one could change clothes. After a coachman had stretched the horse before the carriage, he drove the car into the water and when there well and truly arrived and the stage was turned off, the driver hit his whip on the roof, indicating that the guests vehicle could leave. Then they saw the \"ridiculous and monstrous creatures\" is the water in their striped bathing suits to go. For many natives and visitors of Ostend was an amusing spectacle. Ensor had a different perspective on the event. His friend, the literary André de Ridder Ensor writes how \"hundreds of these unites the sea offending intruders with their flaws and grotesque day a mad jester dance in the water.\\"
"http://mskgent.be/collection/work/data/2008-D-1","n/a","n/a"
"http://mskgent.be/collection/work/data/2008-D-2","n/a","n/a"
"http://mskgent.be/collection/work/data/2008-D-3","n/a","n/a"
