WorkPID,nl,fr,de,en
http://kmska.be/collection/work/id/523-525bis,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://kmska.be/collection/work/id/524,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://kmska.be/collection/work/id/523,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://kmska.be/collection/work/id/525,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://kmska.be/collection/work/id/525bis,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1998-B-112,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1998-B-115,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/data/2008-D-1,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-2,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-3,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-4,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-5,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-6,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-7,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-8,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-9,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-10,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-11,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/data/2008-D-12,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1981-G,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1909-HHH,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1829-A,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1914-IC,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/S-97,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/S-98,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1914-DN,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://mskgent.be/collection/work/id/2005-A,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://kunstenenerfgoed.be/CVG/collection/work/id/BK_1869,,,,
http://mskgent.be/collection/work/id/1958-K,14de eeuw,14ème siècle,14. Jahrhundert,14th century
http://mskgent.be/collection/work/id/1957-AD-2,14de eeuw,14ème siècle,14. Jahrhundert,14th century
http://mskgent.be/collection/work/id/1957-AD-1,14de eeuw,14ème siècle,14. Jahrhundert,14th century
http://mskgent.be/collection/work/id/1903-A,14de eeuw,14ème siècle,14. Jahrhundert,14th century
http://mskgent.be/collection/work/id/1906-B,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1908-H,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1914-CL,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1904-D,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1914-IN,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1881-B,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/S-54,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://mskgent.be/collection/work/id/1903-L,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://mskgent.be/collection/work/id/1903-L,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://mskgent.be/collection/work/id/1903-L,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://mskgent.be/collection/work/id/1903-L,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://mskgent.be/collection/work/id/1914-CB,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://kmska.be/collection/work/id/957,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/1896-A,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://kunstenenerfgoed.be/CVG/collection/work/id/6698,,,,
http://kunstenenerfgoed.be/CVG/collection/work/id/6696,,,,
http://mskgent.be/collection/work/id/1903-H,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/1914-DF,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/1914-II,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/1914-DE,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/1994-F-1,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1994-F-2,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1994-F-3,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1994-F-4,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1994-F-5,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1988-M,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1975-A,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1974-F,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://mskgent.be/collection/work/id/1914-DH,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1908-F,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1957-W-9,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1957-W-10,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1957-W-5,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1970-AE,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1979-C,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1914-Z,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/2003-J-C,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1982-N,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1982-N,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1982-N,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://groeningemuseum.be/collection/work/id/1981_GRO0001_XI,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://groeningemuseum.be/collection/work/id/1981_GRO0001_XI,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://groeningemuseum.be/collection/work/id/1981_GRO0001_XI,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1998-B-67-1,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://kunstenenerfgoed.be/CVG/collection/work/id/BKT_007,,,,
http://mskgent.be/collection/work/id/S-6,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://mskgent.be/collection/work/id/1910-R,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1938-M,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1914-BM,19de eeuw,19ème siècle,19. Jahrhundert,19th century
http://mskgent.be/collection/work/id/1912-E,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1991-M,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1979-J,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/2003-AZ,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1909-PPP-2,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1999-Q,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1999-M,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1934-U,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://mskgent.be/collection/work/id/1988-B,20ste eeuw,20e siècle,20. Jahrhundert,20th century
http://groeningemuseum.be/collection/work/id/0000_GRO0162_I,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://groeningemuseum.be/collection/work/id/0000_GRO0161_I,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://groeningemuseum.be/collection/work/id/0000_GRO0204_I,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://groeningemuseum.be/collection/work/id/0000_GRO0208_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO0208_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO0208_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO0091_I-0095_I,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://groeningemuseum.be/collection/work/id/0000_GRO0040_I-0041_I,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://groeningemuseum.be/collection/work/id/0000_GRO0040_I-0041_I,15de eeuw,15ème siècle,15. Jahrhundert,15th century
http://groeningemuseum.be/collection/work/id/0000_GRO0438_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO1280_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO0108_I-0109_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO0109_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO0108_I,16de eeuw,16ème siècle,16. Jahrhundert,16th century
http://groeningemuseum.be/collection/work/id/0000_GRO0682_I,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://groeningemuseum.be/collection/work/id/0000_GRO0299_I,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://groeningemuseum.be/collection/work/id/1991_GRO0007_I,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://groeningemuseum.be/collection/work/id/0000_GRO0497_I,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://groeningemuseum.be/collection/work/id/0000_GRO0235_I,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://groeningemuseum.be/collection/work/id/0000_GRO0127_I,17de eeuw,17ème siècle,17. Jahrhundert,17th century
http://groeningemuseum.be/collection/work/id/0000_GRO0249_I,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://groeningemuseum.be/collection/work/id/0000_GRO1356_I,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://groeningemuseum.be/collection/work/id/0000_GRO1456_I,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://groeningemuseum.be/collection/work/id/0000_GRO0735_II,18de eeuw,18ème siècle,18. Jahrhundert,18th century
http://groeningemuseum.be/collection/work/id/0000_GRO0156_I,18de eeuw,18ème siècle,18. Jahrhundert,18th century
