"Work PID","nl","en"
"http://kmska.be/collection/work/id/523-525bis","Triptiek van Pompeius Occo en zijn vrouw Gerbrich Claesdr.",
"http://kmska.be/collection/work/id/524","Pompeius Occo",
"http://kmska.be/collection/work/id/523","Madonna",
"http://kmska.be/collection/work/id/525","Gerbrich Claesdr.",
"http://kmska.be/collection/work/id/525bis","Eva",
"http://mskgent.be/collection/work/id/1998-B-112","De wraak van Hop-Frog","Hop-Frog's Revenge"
"http://mskgent.be/collection/work/id/1998-B-115","De baden in Oostende","The Baths at Ostend"
"http://mskgent.be/collection/work/data/2008-D-1","Bruin de Beer gaat Reinaert dagvaarden en wordt heel vriendelijk onthaald","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-2","Reinaert brengt Bruin, waar honig vinden moest, maar heel iets anders krijgt","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-3","Bruin springt in de rivier","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-4","Bruin de Beer beklaagt zich bij den koning en Tybaert de Kater wordt nu met de boodschap belast","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-5","Reinaert wordt nog beschuldigd door Canteclaer","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-6","Genadige Heer, De Macht is in uwe hand, zegde Reinaert","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-7","Toen kreeg hij smaak in het bloed","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-8","Reinaerts vader verhing zich aan eenen boom","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-9","Op den stond deed de Koning Bruin en Isegrim vangen en binden","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-10","Reinaert keerde zich toen tot Cuwaert en Belijn","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-11","Eindelijk begon Belijn te roepen.","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/data/2008-D-12"," De Koning stiet een vervaarlijken kreet van wanhoop en woede","Reynard the Fox before the Tribunal of King Nobel the Lion. A useful and entertaining story for small and older children. Recounted and edited by Stijn Streuvels"
"http://mskgent.be/collection/work/id/1981-G","Kreupelbos in Sint-Martens-Latem","Coppice at Sint-Martens-Latem"
"http://mskgent.be/collection/work/id/1909-HHH","Einde van een sombere dag, 1907","End of a Gloomy Day, 1907"
"http://mskgent.be/collection/work/id/1829-A","De nimf Salmacis en Hermaphroditus","The Nymph Salmacis and Hermaphrodite"
"http://mskgent.be/collection/work/id/1914-IC","Trompe-l'oeil: brievenbord met dansmeesterviool en pistool","Trompe-l’œil: Letter Rack with a Kit and Pistol"
"http://mskgent.be/collection/work/id/S-97","Portretten van Jan zonder Vrees en Margaretha van Beieren","Portrait of John the Fearless and Margaretha of Bavaria"
"http://mskgent.be/collection/work/id/S-98","Portretten van Filips de Goede en Isabella van Portugal","Portrait of Philip the Fair and Isabella of Portugal"
"http://mskgent.be/collection/work/id/1914-DN","Maria met Kind","The Virgin and Child"
"http://mskgent.be/collection/work/id/2005-A","Ugolino en zijn zonen","Ugolino and his Sons"
"http://kunstenenerfgoed.be/CVG/collection/work/id/BK_1869",,
"http://mskgent.be/collection/work/id/1958-K","Christuskop: fragment uit Het Laatste Avondmaal, een verdwenen muurschildering op de zuidelijke muur van de refter van het dominicaner klooster, Gent","Christ’s Head: fragment from The Last Supper, a lost mural painting on the southern wall of the Refectory of the Dominican Monastery, Ghent"
"http://mskgent.be/collection/work/id/1957-AD-2","Vobiceum: fragment uit Het Laatste Avondmaal, een verdwenen\nmuurschildering op de zuidelijke muur van de refter van het dominicaner klooster, Gent","Vobiceum: fragment from The Last Supper, a lost mural painting on the southern wall of the Refectory of the Dominican Monastery, Ghent"
"http://mskgent.be/collection/work/id/1957-AD-1","Omne: fragment uit Het Laatste Avondmaal, een verdwenen\nmuurschildering op de zuidelijke muur van de refter van\nhet dominicaner klooster, Gent","Omne: fragment from The Last Supper, a lost mural painting on the southern wall of the Refectory of the Dominican Monastery, Ghent"
"http://mskgent.be/collection/work/id/1903-A","De kroning van Maria","The Coronation of the Virgin"
"http://mskgent.be/collection/work/id/1906-B","De familie van de heilige Anna","The Family of Saint Anne"
"http://mskgent.be/collection/work/id/1908-H","De heilige Hiëronymus",
"http://mskgent.be/collection/work/id/1914-CL","Portret van de humanist Giovanni Paolo Cornaro",
"http://mskgent.be/collection/work/id/1904-D","De bewening van Christus","The Lamentation of Christ"
"http://mskgent.be/collection/work/id/1914-IN","De keukenmeid","The Kitchen Maid"
"http://mskgent.be/collection/work/id/1881-B","De rampen van het mensdom","The Calamities of Humanity"
"http://mskgent.be/collection/work/id/S-54","Het Laatste Oordeel","The Last Judgement"
"http://mskgent.be/collection/work/id/1903-L","De marteling van de heilige Sebastiaan","The Martyrdom of St Sebastian"
"http://mskgent.be/collection/work/id/1903-L","De marteling van de heilige Sebastiaan","The Martyrdom of St Sebastian"
"http://mskgent.be/collection/work/id/1903-L","De marteling van de heilige Sebastiaan","The Martyrdom of St Sebastian"
"http://mskgent.be/collection/work/id/1903-L","De marteling van de heilige Sebastiaan","The Martyrdom of St Sebastian"
"http://mskgent.be/collection/work/id/1914-CB","Portret van een man","Portrait of a Man"
"http://kmska.be/collection/work/id/957","Bezoek van Minerva aan de Muzen",
"http://mskgent.be/collection/work/id/1896-A","Portret van een man","Portrait of a Man"
"http://kunstenenerfgoed.be/CVG/collection/work/id/6698",,
"http://kunstenenerfgoed.be/CVG/collection/work/id/6696",,
"http://mskgent.be/collection/work/id/1903-H","Leden van het Vleeshouwersgilde in Gent","Members of the Butchers’ Guild in Ghent"
"http://mskgent.be/collection/work/id/1914-DF","Kopstudie van een jonge Moor","Study of the Head of a Young Moor"
"http://mskgent.be/collection/work/id/1914-II","De verheerlijking van de heilige Oswald","The Exaltation of Saint Oswald"
"http://mskgent.be/collection/work/id/1914-DE","Vanitas, ca. 1620-1630","Vanity Piece, ca. 1620-1630"
"http://mskgent.be/collection/work/id/1994-F-1","Verheerlijking van Mars","The Glorification of Mars"
"http://mskgent.be/collection/work/id/1994-F-2","Verheerlijking van Apollo","The Glorification of Apollo"
"http://mskgent.be/collection/work/id/1994-F-3","Verheerlijking van Venus","The Glorification of Venus"
"http://mskgent.be/collection/work/id/1994-F-4","Verheerlijking van Diana","The Glorification of Diana"
"http://mskgent.be/collection/work/id/1994-F-5","Verheerlijking van Minerva","The Glorification of Minerva"
"http://mskgent.be/collection/work/id/1988-M","Erminia en de schaapherders (naar Torquato Tasso)","Erminia and the Shepherds (after Torquato Tasso"
"http://mskgent.be/collection/work/id/1975-A","The Meet (Samenkomst voor de jacht)","The Meet"
"http://mskgent.be/collection/work/id/1974-F","The Kill (Het doden van het hert)","The Kill"
"http://mskgent.be/collection/work/id/1914-DH","Bruin paard","Brown Horse"
"http://mskgent.be/collection/work/id/1908-F","Portret van een kleptomaan","Portrait of a Kleptomaniac"
"http://mskgent.be/collection/work/id/1957-W-9","Grote Indische triptiek","Large Indian Triptych"
"http://mskgent.be/collection/work/id/1957-W-10","Keizer van Java","The Emperor of Java"
"http://mskgent.be/collection/work/id/1957-W-5","Mijn kamer in Delft","My Room in Delft"
